Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,Id,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text,sentiment
Do-Gooders: How Liberals Hurt Those They Claim to Help (and the Rest of Us) (Brilliance Audio on Compact Disc),,,http://books.google.com/books/content?id=7dMSAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=7dMSAQAAMAAJ&pg=PA782&dq=Do-Gooders:+How+Liberals+Hurt+Those+They+Claim+to+Help+(and+the+Rest+of+Us)+(Brilliance+Audio+on+Compact+Disc)&hl=&cd=1&source=gbs_api,,2007,http://books.google.nl/books?id=7dMSAQAAMAAJ&dq=Do-Gooders:+How+Liberals+Hurt+Those+They+Claim+to+Help+(and+the+Rest+of+Us)+(Brilliance+Audio+on+Compact+Disc)&hl=&source=gbs_api,['Audiobooks'],,B000MV8HP2,,A5QE86H97FDJA,Mynameisthis,99/138,5.0,1104796800,Left-Wingers will be left speechless,"Mona Charen, who has shown a strong ability to disarm liberals on a regular basis through her syndicated newspaper articles, has written a brilliant book that addresses issues such as, education, Affirmative Action, and Welfare.There's nothing liberals can say to counter the points Mona makes. While Mona's style is less confrontional like that of Anne Coulter, she is nonetheless witty, bright, and on target.I highly recommend this book as important reading for anyone who wants to analyze the failures of liberalism and set the record straight.",1
The Clinton Wars,"A senior advisor to Bill Clinton describes his relationship with the former president, noting his testimony at the impeachment trial and his admiration for Clinton's work in Kosovo, against Congress, and toward economic improvement.",['Sidney Blumenthal'],http://books.google.com/books/content?id=r0ZYyrui43wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=r0ZYyrui43wC&q=The+Clinton+Wars&dq=The+Clinton+Wars&hl=&cd=1&source=gbs_api,Plume Books,2004,http://books.google.nl/books?id=r0ZYyrui43wC&dq=The+Clinton+Wars&hl=&source=gbs_api,['Biography & Autobiography'],4.0,B0006SHMRU,,A2I2HL6YHFLIS1,Alan Deikman,99/136,5.0,1053993600,Should be required reading for all high-school and above,"Blumenthal packs a lot of punch in this summary of American national politics at the end of the century. For years the right-wing has had its own way in the national media, all the while claiming ""liberal media"" over and over again so many times from so many sources that most people believe it.This book doesn't waste much time on that (for the Liberal Media canard, see Eric Alterman's masterpiece). ""The Clinton Wars"" does have to visit the media frequently, because that is where the offensive part of the war took place. In many cases, as Blumenthal points out, the Clintons were permitted no defense whatsoever. Reading this story makes you wonder how they survived, even though you know by now how it turned out!If you are turned off by political hate-books (like Coulter, Noonan, Hannity and others) you won't be disappointed by Blumenthal. If his narrative seems a bit sharp at times, it is only because Clinton's enemies were so hate filled that it seems that even to fully describe them there is no way to not appear partisan. Blumenthal is always careful to back up his assertions with footnoted facts and direct quotes, and so far I have not found any faking of footnotes of the type that were discovered in Ann Coulter's book.This will all be very unhappy reading for the demographic for whom it is an article of faith that the Clintons are vile, corrupt power-mongers who only ""got away with it"" and were never innocent of anything in their lives. ""The Clinton Wars"" takes the trouble to go back in history to explain how this mind-set developed as well, back to FDR's time and before. History was my least favorite subject in high school, but it wouldn't have been had this book been around.As it is, I'm glad that Blumenthal got this on the record.",1
National Geographic Atlas Of The World,"Provides physical and thematic maps of the Earth, covering such aspects as population, food, minerals, climate, politics, and energy, as well as maps of the surface of the Moon, Mars, inner and outer solar system, and universe.","['National Geographic Society (U.S.)', 'National Geographic']",http://books.google.com/books/content?id=VPvyDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=VPvyDAAAQBAJ&printsec=frontcover&dq=National+Geographic+Atlas+Of+The+World&hl=&cd=1&source=gbs_api,National Geographic Books,2015-09-29,http://books.google.com/books?id=VPvyDAAAQBAJ&dq=National+Geographic+Atlas+Of+The+World&hl=&source=gbs_api,['Atlases'],,087044137X,,ACIO86WL4KY2C,Jan-Willem van Aalst,99/135,4.0,942710400,National Geographic retains its reputation.,"National Geographic retains its reputation as one of the finest mapmakers of the world with the seventh edition of their atlas of the world. The maps look the same as the sixth edition, but a fully updated section of urban area maps has been included. Again, color usage is very sparse, but the relief shading has improved. What really makes this atlas more valuable than its predecessor is the thematic part. A large number of topics are elaborately treated. With the 140,000+ index, this atlas remains in the top 5 of best atlases ever produced.",1
National Geographic Atlas of the World,"Provides physical and thematic maps of the Earth, covering such aspects as population, food, minerals, climate, politics, and energy, as well as maps of the surface of the Moon, Mars, inner and outer solar system, and universe.","['National Geographic Society (U.S.)', 'National Geographic']",http://books.google.com/books/content?id=VPvyDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=VPvyDAAAQBAJ&printsec=frontcover&dq=National+Geographic+Atlas+of+the+World&hl=&cd=1&source=gbs_api,National Geographic Books,2015-09-29,http://books.google.com/books?id=VPvyDAAAQBAJ&dq=National+Geographic+Atlas+of+the+World&hl=&source=gbs_api,['Atlases'],,B000PD6XVW,,ACIO86WL4KY2C,Jan-Willem van Aalst,99/135,4.0,942710400,National Geographic retains its reputation.,"National Geographic retains its reputation as one of the finest mapmakers of the world with the seventh edition of their atlas of the world. The maps look the same as the sixth edition, but a fully updated section of urban area maps has been included. Again, color usage is very sparse, but the relief shading has improved. What really makes this atlas more valuable than its predecessor is the thematic part. A large number of topics are elaborately treated. With the 140,000+ index, this atlas remains in the top 5 of best atlases ever produced.",1
"Orthodoxy,","G. K. Chesterton meditates on the value of the Christian faith to society in this celebrated essay Inspired by a friend to examine his personal philosophy on religion, G. K. Chesterton walks readers through his conversion to Christianity, which was based on a rational consideration of fact. Orthodoxy considers the logical and scholarly arguments in favor of the Christian faith and presents an impassioned argument for the church as a positive, liberal organization. One of the strongest apologias ever written, it is a critical triumph from a renowned author, poet, journalist, and philosopher, whose own spiritual journey provides the foundation for this fascinating treatise on religious belief. This ebook has been professionally proofread to ensure accuracy and readability on all devices.",['G. K. Chesterton'],http://books.google.com/books/content?id=Yb35CAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"http://books.google.nl/books?id=Yb35CAAAQBAJ&printsec=frontcover&dq=Orthodoxy,&hl=&cd=1&source=gbs_api",Open Road Media,2015-05-26,https://play.google.com/store/books/details?id=Yb35CAAAQBAJ&source=gbs_api,['Philosophy'],15.0,B0006AQFR6,,A2YI3SU5THQUQZ,J. F Foster,99/133,4.0,1048032000,"Quite Good, with some exceptions","Chesterton, not unlike Peter Kreeft, is a Roman Catholic thinker who has gained a noticeable readership among the ranks of evangelicals. This particular book is regularly referred to and relied upon in evangelical works on all sorts of subjects. As such, it is a book that evangelicals should read and take notice of. And clearly, it is a book that many Roman Catholics will empathize with due to its clear advancement of the Roman Catholic church as the purest and most correct source of religion.As has been pointed out by others, in advancing Christian orthodoxy, Chesterton takes a decidedly unorthodox approach. Instead of advancing objective evidences or elaborate philosophical arguments, he chooses instead an approach that is actually quite funny in a way - an approach that at its core, resembles Calvinistic presuppositionalism. This is funny since Chesterton, on more than one occasion in this book, flippantly rejects all things Calvinistic, yet I found his entire book to be rooted in an apologetic approach that is in many ways similar to Van Til. He asserts, consistently with Van Tillianism, that those who offer objections to Christianity fundamentally lack an epistemic basis to do so since their objections presuppose and rely upon Christian values, the origin of which they later argue against. This is brought out very clearly in his 'Paradoxes of Christianity' chapter where he critiques the hopeless inconsistency of Christianity's critics. This was a real treat to read.In the end, Chesterton advances the view that wonder, happiness, joy, and a proper balance between optimism and pessimism can only be found in Christianity. This conclusion is based upon his own experience, and bolstered by many hypothetical and theoretical examples meant to further the point.I gave the book 4 stars instead of 5 for reasons that others might deem unfair. While there were many sections of this book that were very insightful and on point, there were also sections where Chesterton seemed to be rambling toward no particular end. This might be an unfair criticism because the book was not meant to be a systematic apologetic for Christianity, but instead a semi-autobiographical account that charts Chesterton's own thought process. As a result, the reader will also notice that Orthodoxy is a work that is nearly devoid of Biblical references, much less exegesis. I found this problematic precisely because one could read this book, conclude that Chesterton was completely right in everything he said, and still be able to reject Christianity completely since the book did not interact at all with Biblical truths.Lastly, I must say having read this book, it is no surprise to me that a guy like Philip Yancey would be bonkers over it (Yancey wrote the introduction to the edition of the book I read). Chesterton was a man who embraced Roman Catholicism in a Protestant environment, and did so defiantly. In many ways, Chesterton writes as if he is an army of one. Not coincidentally, this also tends to be the attitude that Yancey has adopted relative to his views within evangelicalism. As such, Yancey's introduction to this book mindlessly strikes out against other evangelicals who don't see the world the way he does, and it is clear that his inspiration lies at least in part in Chesterton. I couldn't help but get the feeling that both of these individuals, to greater or lesser degrees, came to embrace the idea of being contrary for the sake of being contrary, and then justifying it with language extolling the virtue of being revolutionary, as if this is supposed to be an end in itself. It is admittedly hard for me to have much respect for such views, and maybe I'm misreading both men. But that was certainly the indication I got after reading this book, and it is a position that is not only anti-intellectual, but easily becomes completely self-serving.In the end, the book is a good read which makes many insightful points. Chesterton clearly believed that truth should translate to joy and wonder. This is certainly a message that all believers should pay attention to, and to this end, I think this book succeeds.",1
His Dark Materials Trilogy,"Northern Lights introduces Lyra, an orphan, who lives in a parallel universe in which science, theology and magic are entwined. Lyra's search for a kidnapped friend uncovers a sinister plot involving stolen children and turns into a quest to understand a mysterious phenomenon called Dust. In The Subtle Knife she is joined on her journey by Will, a boy who possesses a knife that can cut windows between worlds. As Lyra learns the truth about her parents and her prophesied destiny, the two young people are caught up in a war against celestial powers that ranges across many worlds and leads to a thrilling conclusion in The Amber Spyglass. The epic story Pullman tells is not only a spellbinding adventure featuring armoured polar bears, magical devices, witches and daemons, it is also an audacious and profound re-imagining of Milton's Paradise Lost. An utterly entrancing blend of metaphysical speculation and bravura storytelling, HIS DARK MATERIALS is a monumental and enduring achievement.",['Philip Pullman'],http://books.google.com/books/content?id=xl9fkQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=xl9fkQEACAAJ&dq=His+Dark+Materials+Trilogy&hl=&cd=1&source=gbs_api,Everyman Paperback Classics,2011,http://books.google.com/books?id=xl9fkQEACAAJ&dq=His+Dark+Materials+Trilogy&hl=&source=gbs_api,['Fiction'],27.0,B000GSDWJW,,A2S7K3TJ3VYWXV,"Mr. Eclectic ""Brian""",99/133,3.0,1038441600,A great read but should be rated PG.,"As a teacher and a lover of good books, I have conflicting opinions of ""His Dark Materials."" For pure ""good read"" value, I would consider this series on par with the Harry Potter series: not great literature, but well-crafted and compelling. Unlike the Potter series, which borrows heavily from many different existing characters and works, ""His Dark Materials"" is pure and original in its imaginative scope. Characters are very realistic, each possessing the same mixture of good and bad qualites we all possess. The plot twists and turns in a manner that is completely unpredictable. For these and many other reasons, the series is remarkably realistic for a fantasy piece, but this is where my problem with the series begins.Like Judy Blume before him, Mr. Pullman and his publishers have decided to market very controversial material to minors without providing warning to parents as to just what the books contain. While Blume's books contain realistic and often graphic depictions of teen and pre-teen sexuality and other controversial topics of interest to young people, Mr. Pullman has decided to use this blending of realistic and fantasy elements to take on religion.I am not a religious person myself, but even I was shocked by the lack of respect and even contempt for anything resembling organized religion that Mr. Pullman displays in this trilogy (except Shamanism, with which he doesn't seem to have a problem). Ironically, the knife Mr. Pullman uses to skewer religion is anything but subtle. I could cite multiple instances of his treatment, but to do so would ruin a good story for those interested in reading it. Let it suffice to say that anti-religious sentiments pervade the series to the point that religion itself is the ""dark force in the universe."" I found this premise fascinating, but then I am a thirty-something year old man who can enjoy a story without automatically accepting its underlying premise. I worry that many of the young people who read and enjoy ""His Dark Materials"" will find this literary Trojan horse so compelling that they actually rush to embrace the Greeks as they appear from within. Parents struggling to provide religious and moral training for their children are done a disservice when authors like Mr. Pullman write a book the purpose of which is to undermine those very efforts. For the record, I am not assuming Mr. Pullman's intent with regards to the intentions of his trilogy. I actually saw an interview with him on television in which he spelled out the anti-religious underpinnings of ""His Dark Materials.""To sum it all up, I'm not for censoring anything. The story is a good one. I really enjoyed it. I just don't think it should be marketed to young people. It should, instead, be marketed to adults who bring some additional wisdom and perspective to the work.I understand that a movie version of ""His Dark Materials"" is already in the works. If you think the protests of the super-conservative religious types were loud when the Potter craze began, wait until the vast numbers of religious moderates join the fray when they find out what their children have been learning about God and religion in Mr. Pullman's wildly popular books. Let's hope the film industry is responsible enough not to market this film adaptation directly to children. Okay, I know I'm not being realistic. It won't be long before we see the assassin priest, decrepit God, and gay angel couple action figures in our local stores along with the picket signs of many good people whom Mr. Pullman purposely intended to insult and offend. They, of course, will look like narrow-minded, intolerant idiots and Mr. Pullman will become the media's latest downtrodden first amendment crusader. He will also be a multi-millionaire.Well played, Mr. Pullman.",1
Orthodoxy (Unicorn Books),,['Gilbert Keith Chesterton'],,http://books.google.com/books?id=Weq9bwAACAAJ&dq=Orthodoxy+(Unicorn+Books)&hl=&cd=1&source=gbs_api,,1939,http://books.google.com/books?id=Weq9bwAACAAJ&dq=Orthodoxy+(Unicorn+Books)&hl=&source=gbs_api,['Apologetics'],20.0,B00088TSSE,,A2YI3SU5THQUQZ,J. F Foster,99/133,4.0,1048032000,"Quite Good, with some exceptions","Chesterton, not unlike Peter Kreeft, is a Roman Catholic thinker who has gained a noticeable readership among the ranks of evangelicals. This particular book is regularly referred to and relied upon in evangelical works on all sorts of subjects. As such, it is a book that evangelicals should read and take notice of. And clearly, it is a book that many Roman Catholics will empathize with due to its clear advancement of the Roman Catholic church as the purest and most correct source of religion.As has been pointed out by others, in advancing Christian orthodoxy, Chesterton takes a decidedly unorthodox approach. Instead of advancing objective evidences or elaborate philosophical arguments, he chooses instead an approach that is actually quite funny in a way - an approach that at its core, resembles Calvinistic presuppositionalism. This is funny since Chesterton, on more than one occasion in this book, flippantly rejects all things Calvinistic, yet I found his entire book to be rooted in an apologetic approach that is in many ways similar to Van Til. He asserts, consistently with Van Tillianism, that those who offer objections to Christianity fundamentally lack an epistemic basis to do so since their objections presuppose and rely upon Christian values, the origin of which they later argue against. This is brought out very clearly in his 'Paradoxes of Christianity' chapter where he critiques the hopeless inconsistency of Christianity's critics. This was a real treat to read.In the end, Chesterton advances the view that wonder, happiness, joy, and a proper balance between optimism and pessimism can only be found in Christianity. This conclusion is based upon his own experience, and bolstered by many hypothetical and theoretical examples meant to further the point.I gave the book 4 stars instead of 5 for reasons that others might deem unfair. While there were many sections of this book that were very insightful and on point, there were also sections where Chesterton seemed to be rambling toward no particular end. This might be an unfair criticism because the book was not meant to be a systematic apologetic for Christianity, but instead a semi-autobiographical account that charts Chesterton's own thought process. As a result, the reader will also notice that Orthodoxy is a work that is nearly devoid of Biblical references, much less exegesis. I found this problematic precisely because one could read this book, conclude that Chesterton was completely right in everything he said, and still be able to reject Christianity completely since the book did not interact at all with Biblical truths.Lastly, I must say having read this book, it is no surprise to me that a guy like Philip Yancey would be bonkers over it (Yancey wrote the introduction to the edition of the book I read). Chesterton was a man who embraced Roman Catholicism in a Protestant environment, and did so defiantly. In many ways, Chesterton writes as if he is an army of one. Not coincidentally, this also tends to be the attitude that Yancey has adopted relative to his views within evangelicalism. As such, Yancey's introduction to this book mindlessly strikes out against other evangelicals who don't see the world the way he does, and it is clear that his inspiration lies at least in part in Chesterton. I couldn't help but get the feeling that both of these individuals, to greater or lesser degrees, came to embrace the idea of being contrary for the sake of being contrary, and then justifying it with language extolling the virtue of being revolutionary, as if this is supposed to be an end in itself. It is admittedly hard for me to have much respect for such views, and maybe I'm misreading both men. But that was certainly the indication I got after reading this book, and it is a position that is not only anti-intellectual, but easily becomes completely self-serving.In the end, the book is a good read which makes many insightful points. Chesterton clearly believed that truth should translate to joy and wonder. This is certainly a message that all believers should pay attention to, and to this end, I think this book succeeds.",1
NEW EARTH,"The 10th anniversary edition of A New Earth with a new preface by Eckhart Tolle. With his bestselling spiritual guide The Power of Now, Eckhart Tolle inspired millions of readers to discover the freedom and joy of a life lived “in the now.” In A New Earth, Tolle expands on these powerful ideas to show how transcending our ego-based state of consciousness is not only essential to personal happiness, but also the key to ending conflict and suffering throughout the world. Tolle describes how our attachment to the ego creates the dysfunction that leads to anger, jealousy, and unhappiness, and shows readers how to awaken to a new state of consciousness and follow the path to a truly fulfilling existence. Illuminating, enlightening, and uplifting, A New Earth is a profoundly spiritual manifesto for a better way of life—and for building a better world.",['Eckhart Tolle'],http://books.google.com/books/content?id=JScjn-NRFaUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=JScjn-NRFaUC&printsec=frontcover&dq=NEW+EARTH&hl=&cd=1&source=gbs_api,Penguin,2006-08-29,https://play.google.com/store/books/details?id=JScjn-NRFaUC&source=gbs_api,['Self-Help'],158.0,B000N6R4AA,,AXZPCDN9WOFBN,ghostrider,99/132,1.0,1206403200,Cult rhetoric,"Tolle's philosophy is intellectually primitive and spiritually immature. There is nothing new in what he says and is reminiscent of the 60's culture when Timothy Leary and drug use was so popular. It's the same hippy ""free love,"" amoral, surrender your ego rhetoric Charles Manson and other cult leaders have used to brainwash followers.It lacks logical consistency and demonstrates a superficial understanding of the ego. It is mostly a fantasy that attempts to recapture human infancy experiences and claim that they are reality. Like many gurus of this sort who use such rhetoric about the 'ego,' 'ultimate reality,' 'space,' 'time,' and 'oneness,' the main idea is a regression to an infantile state of mind where there are no inhibitions and thus no morality, as well as no sense of self as a separate individual. For infants there is only 'now'. Consequently, Tolle's books invite readers to de-evolve, or at least arrest their developmental progress, and return to the paradise of infancy. ""Refuse to grow-up"" would be a better title for his book.",1
The Only Grant-Writing Book You'll Ever Need: Top Grant Writers and Grant Givers Share Their Secrets!,"From top experts in the field, the definitive guide to grant-writing Written by two expert authors who have won millions of dollars in government and foundation grants, this is the essential book on securing grants. It provides comprehensive, step-by-step guide for grant writers, including vital up-to-the minute interviews with grant-makers, policy makers, and nonprofit leaders. This book is a must-read for anyone seeking grants in today's difficult economic climate. The Only Grant-Writing Book You'll Ever Need includes: Concrete suggestions for developing each section of a proposal Hands-on exercises that let you practice what you learn A glossary of terms Conversations with grant-makers on why they award grants...and why they don't Insights into how grant-awarding is affected by shifts in the economy","['Ellen Karsh', 'Arlen Sue Fox']",http://books.google.com/books/content?id=sCyDwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=sCyDwwEACAAJ&dq=The+Only+Grant-Writing+Book+You%27ll+Ever+Need:+Top+Grant+Writers+and+Grant+Givers+Share+Their+Secrets!&hl=&cd=1&source=gbs_api,Basic Books,2019-11-05,http://books.google.nl/books?id=sCyDwwEACAAJ&dq=The+Only+Grant-Writing+Book+You%27ll+Ever+Need:+Top+Grant+Writers+and+Grant+Givers+Share+Their+Secrets!&hl=&source=gbs_api,['Business & Economics'],,0786711752,,AQKS2V96QTI1U,Chemiker,99/131,1.0,1063670400,"States the obvious, does not apply to science.","If you have never written a successful grant before or are primarily involved in raising funds for social services this book will likely be of help. However, for the rest of us it has little to offer. The book is narrowly focused on procedures one must follow before, during and after the grant writing process, but it fails to discuss writing strategies to enhance persuasiveness or improve the presentation of complicated technical subjects. I found it useless.",1
Consilience (University Press Audiobooks),"Beginning theory has been helping students navigate through the thickets of literary and cultural theory for over two decades. This new and expanded fourth edition continues to offer students and readers the best one-volume introduction to the field. The bewildering variety of approaches, theorists and technical language is lucidly and expertly unravelled. Unlike many books which assume certain positions about the critics and the theories they represent, Peter Barry allows readers to develop their own ideas once first principles and concepts have been grasped. The book has been updated for this edition and includes a new introduction, expanded chapters, and an overview of the subject (Theory after Theory) which maps the arrival of new 'isms' since the second edition appeared in 2002 and the third edition in 2009.",['Peter Barry'],http://books.google.com/books/content?id=sdFgAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=sdFgAQAACAAJ&dq=Consilience+(University+Press+Audiobooks)&hl=&cd=1&source=gbs_api,Beginnings,2017,http://books.google.nl/books?id=sdFgAQAACAAJ&dq=Consilience+(University+Press+Audiobooks)&hl=&source=gbs_api,['Criticism'],,187955755X,,A2GNNAS33G7Q3Z,Howard Taylor,99/131,2.0,957139200,Only one way of knowing?,"As the sub-title would suggest Edward Wilson is unhappy with the Postmodernism of our day which believes there is no universal truth but only a relativistic `truth for you' and `truth for me'. With this at least this reviewer is at one with Wilson. Postmodernism places great store on style and surface appearance rather than an argument for a claim of universal truth. But here is the irony. Wilson's book is written in style. It is engaging, non-polemical, full of impressive knowledge of many and varied kinds. Is this why it has won the prize? It can't be because he has made his case for he hasn't!What is the case he seeks to make? In contrast the post-modern outlook Wilson believes in universal truth. However the burden of this book is to take this conviction further than many would want. He believes that all truth can in principle be attained by the reductionist methods of natural science. That is to say that he believes that our conscious awareness of our surroundings, our apparent free-will, the personal knowledge we have of one another, our appreciation of beauty, our perception of right and wrong etc can all be reduced to the laws of physics. In other words he believes that all ways of knowing can in the end be reduced to reductionist science. He is then what some would call a `hard materialist' or `hard naturalist'. He pleads guilty to `ontological reductionism' and `scientism'. (page 9). However unlike Dawkins and Leakey and others, he is not, an anti-religious polemicist. He even concedes that transcendentalism may finally win the argument. However the purpose of his book it to put the case against transcendentalism and for materialist reductionism. He believes there may possibly be a God but this God has no continuing relationship with creation and therefore He is not relevant to anything we do or know . Wilson is then, as he describes himself, a Deist (in the modern sense of the word.)By referring to Kant and other well known philosophers he gives the impression that he is well read in philosophy. This for the case he is making, of course, would be essential. However it is only an impression - though an impression that must have impressed those who award the Pulitzer Prize. His arguments show he has not really got to grips with the age-old discussions. With reference to 20th century philosophy he devotes several pages in chapter 4 to Logical Positivism. It was a form of atheist materialist philosophy that came to prominence in the first half of the 20th century. It failed and Wilson knows that it fails. However he claims that it failed only because it was not known how the brain works. This he tells us is the `whole story' of its failure. What is extraordinary about Wilson's claim is that the state of scientific knowledge had nothing whatsoever to do with the failure of Logical Positivism. It failed because, at its heart, was the so-called Verification Principle. This stated that any statement that cannot in principle be tested by experiment is meaningless. (So, it claimed that moral and aesthetic judgements are meaningless). It was later realised (by Wittgenstein and others) that the Verification Principle itself cannot be tested by experiment and therefore, on its own terms, is meaningless. The failure of Logical Positivism had nothing to do with the then lack of knowledge of the brain and everything to do with it being a self-refuting philosophy.Over and over again his main thesis boils down to the argument that since scientific reductionism has answered many of our questions about the natural world it will, one day, be able to answer all questions. However that simply does not follow! It could conceivably be argued that science's great success makes it possible that one day it will answer all questions. Even this argument for a possible outcome could only be valid if it could be shown that the advance of science is reducing the sense of mystery about the nature of reality. Many would argue that the very reverse is the case. For example with the advent of the very successful quantum physics the mystery of what lies at the foundation of the natural world deepens greatly. The discovery of DNA may well have greatly advanced our understanding of what life is but it exposes new mysteries that previous generations could never have thought of. More of that below.A serious gap in his thesis is his failure even to refer to the great physical chemist and philosopher of science Michael Polanyi. Since Polanyi's main contribution to epistemology runs directly counter to Wilson's views, he, at least, should have tackled Polanyi's arguments. Polanyi believed that it is only living conscious beings that know things. (Books and computers may contain information but do not themselves know anything). Polanyi's conviction was that any theory of knowledge, which reduces the conscious person to mere lifeless atoms in motion, undermines not only the concept of person but also undermines knowledge itself because it is only living conscious beings that know things. His conviction was that all knowledge is personal knowledge but that we persons know things in a different way than we know other persons. We know other persons when we talk to one another living and working in their presence. We could never reach that knowledge by dissecting people - however far our science had advanced. Thus personal knowledge of one another is not reached by reductionist science but is nevertheless real knowledge. Good science in the widest sense uses methods of knowing that are appropriate to the object we seek to know. It is now, and always will be, inappropriate to use reductionist science to know other people. It would not only be inhumane but in the fullest sense of the word unscientific. It is in personal knowledge of one another that we can begin to learn those things that are in principle unknowable by reductionist science - namely what it is like to be that other person. My experience of me as `I' cannot be publicly examined but can nevertheless be revealed to other people with whom I have a personal relationship. My subjective experience of me as `I' in my relation to the outside world is what I call my self-awareness and consciousness. These inherently subjective experiences are what philosophers call `qualia'.However if we presuppose materialism before we begin to examine reality, ultimately there will be no alternative to Edward Wilson's view. But why should we presuppose it? As noted above the farther reductionist science advances into knowledge of the material world the more not less mystery it uncovers.To argue against transcendentalism one must surely tackle such ancient questions as to where the universe came from. This is not a question about a gap in our knowledge of how the universe works but a question that in principle lies at the boundary of science and any transcendent world. I am surprised that Wilson does not tackle it, especially as he seems to claim that one day there will be no questions at all that science cannot answer. (Page 10) He skirts the related question: Why is the universe ordered?' with the words: &quot;fortunate comprehensibility of the universe&quot;, and with a description of the world as &quot;surprisingly well ordered&quot;. (Page 50) The adjective `fortunate' and the adverb `surprisingly' immensely underrate the issue. Surely we must agree with Einstein that the origin of the comprehensibility of the universe is itself incomprehensible. In other words science's presupposition of order is right but it cannot say where that order came from. If Einstein is correct then there is no way that Wilson's thesis can be correct. It fails at nature's foundation.It is in his treatment of mind and consciousness that he tackles another fundamental issue. If he can explain these in materialistic terms he has gone along way to showing that one day beauty, culture, morality and religion will all be explicable from physics. Before I get to his treatment of mind and consciousness there is something to be said about the nature of life and evolution. Wilson gives us a very impressive description of the cells of life.",1
The Clinton Wars,"A senior advisor to Bill Clinton describes his relationship with the former president, noting his testimony at the impeachment trial and his admiration for Clinton's work in Kosovo, against Congress, and toward economic improvement.",['Sidney Blumenthal'],http://books.google.com/books/content?id=r0ZYyrui43wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=r0ZYyrui43wC&q=The+Clinton+Wars&dq=The+Clinton+Wars&hl=&cd=1&source=gbs_api,Plume Books,2004,http://books.google.nl/books?id=r0ZYyrui43wC&dq=The+Clinton+Wars&hl=&source=gbs_api,['Biography & Autobiography'],4.0,B0006SHMRU,,,,99/128,5.0,1053648000,First Draft Of History.,"Blumenthal's book is a fascinating behind-the-scenes account of his years both inside and outside the Clinton administration. The book is thorough, vividly written and steady and has, obviously, already been assailed by the right wing punditocracy largely because Blumenthal actually admires Clinton and measures the man's very real achievements (while also being quite forthright about Clinton's missteps, particularly his incoherent first two years in office.) But Blumenthal has also ticked off another power nexus -- that of the mainstream media. Why? Because Blumenthal, a former reporter for The Washington Post and The New Yorker knows how the game was played, and he names names, providing an absolutley devastating analysis of how big media companies like The New York Times, The Post, Time, Newsweek, et al, were duped by dirty tricksters on the radical right; how the Whitewater story was concocted by Republican gamesters during the '92 election and how, after Clinton's election, those gamesters used Jeff Gerth at the supposedly 'liberal' NY Times to do their dirty work by foisting the story into the national mainstream. With results we know now.Attacks on Blumenthal, from Times' editors, Newsweek's Isikoff strike a false and shrill (and hugely defensive) note. Blumenthal has the goods on these characters. The smoke has cleared, and as they say ""history will judge."" Those media bigfeet who became so usefully available to the Republican propaganda machine do not like now to have their bad behavior brought back up. Thus, the tenor of reviews claiming the Clinton era is all 'ancient history' and we should let the past be past.Significantly, the one dispassionate and also hugely favorable review of this book was written not by a journalist forced to confront the press's near-treasonous conduct during the Clinton years, but by an historian, Robert Dallek.",1
